State,County,Crash_Date,Crash_Time,Day_of_Week,Location_Type,Weather_Conditions,Road_Condition,Number_of_Vehicles,Vehicle_Type_1,Vehicle_Type_2,EV_Indicator_1,EV_Indicator_2,Driver_Age_1,Driver_Age_2,Driver_Gender_1,Driver_Gender_2,Crash_Severity,Crash_Cause,Fatalities,Injuries,Alcohol_Involvement,Speeding,Police_Report_Filed,Vehicle_Make_1,Vehicle_Make_2,Year_of_Vehicle_1,Year_of_Vehicle_2,Crash_Year
SD,County 15,2/21/20,23:17,Tuesday,Rural,Rain,Dry,5,Sedan,EV,No,Yes,70,20.0,Male,Male,Severe Injury,DUI,0,8,Yes,Yes,No,Chevrolet,Audi,2018,2008.0,2020
AL,County 98,11/22/20,22:27,Wednesday,Highway,Rain,Wet,3,Sedan,Sedan,No,No,64,28.0,Female,Female,Minor Injury,Speeding,0,0,No,Yes,No,Tesla,Hyundai,2009,2020.0,2020
MS,County 74,1/28/21,22:04,Monday,Rural,Snow,Dry,2,Sedan,Motorcycle,No,No,51,74.0,Female,Male,Minor Injury,Distracted Driving,0,0,Yes,No,Yes,Kia,Ford,2017,2023.0,2021
NJ,County 49,7/6/21,20:44,Friday,Rural,Snow,Dry,2,Sedan,Truck,Yes,No,67,50.0,Male,Male,Minor Injury,DUI,0,0,No,No,No,Ford,Honda,2004,2007.0,2021
OH,County 34,4/12/23,13:57,Friday,Residential,Snow,Wet,2,EV,Motorcycle,Yes,No,27,22.0,Male,Male,Severe Injury,Fatigue,0,6,Yes,No,No,Kia,Audi,2016,2008.0,2023
AL,County 88,8/22/20,21:56,Friday,Highway,Snow,Dry,3,Motorcycle,SUV,Yes,No,74,16.0,Female,Male,Fatal,Fatigue,2,10,Yes,Yes,No,Ford,Hyundai,2016,2000.0,2020
NY,County 3,8/17/20,11:56,Sunday,Highway,Rain,Dry,2,EV,Sedan,Yes,No,26,78.0,Male,Male,Severe Injury,Fatigue,0,7,Yes,No,No,Chevrolet,Hyundai,2023,2022.0,2020
MD,County 52,10/7/23,20:23,Thursday,Residential,Clear,Wet,2,Sedan,Truck,No,No,18,45.0,Male,Male,Fatal,Fatigue,5,0,Yes,Yes,Yes,Nissan,Tesla,2016,2007.0,2023
NY,County 28,1/9/23,4:46,Friday,Residential,Rain,Gravel,4,SUV,Sedan,No,No,28,71.0,Female,Female,No Injury,Mechanical Failure,0,0,Yes,Yes,Yes,BMW,Nissan,2003,2007.0,2023
OH,County 58,10/14/20,13:11,Wednesday,Residential,Rain,Dry,4,EV,Sedan,Yes,No,22,17.0,Male,Male,Severe Injury,Mechanical Failure,0,7,No,Yes,No,Toyota,Ford,2012,2000.0,2020
